id,transaction_date,description,amount,extended_details,statement_description,true_category,is_manually_categorized,confidence,model_version,model_filename,source_file,timestamp,home,card_type,pred_category_llama_v1,pred_confidence_llama_v1,correct_llama_v1
68,2024-06-13,AplPay PANERA BREAD CHICAGO             IL,10.24,"465421      FAST FOOD RESTAURANT
AplPay PANERA BREAD #609200
CHICAGO
IL
FAST FOOD RESTAURANT",AplPay PANERA BREAD CHICAGO             IL,Food & Drink,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Home,Gold,Food & Drink,0.9,True
72,2024-06-12,AplPay CVS PHARMACY CHICAGO             IL,21.49,"10085934   8007467287
PHARMACIES
AplPay CVS PHARMACY
CHICAGO
IL
PHARMACIES
8007467287",AplPay CVS PHARMACY CHICAGO             IL,Misc,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Personal,Gold,Medical,0.9,False
434,2024-09-22,AplPay THE SPOKE & BChicago             IL,52.47,"J8YGShvZTWG squareup.com/receipts
AplPay THE SPOKE & BIRD - SOUTH LOOP
Chicago
IL
squareup.com/receipts",AplPay THE SPOKE & BChicago             IL,Food & Drink,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Home,Gold,Food & Drink,0.9,True
125,2024-05-28,AplPay FAMILY PRIDE LOMBARD             IL,2.5,"6309324700
AplPay FAMILY PRIDE LAUNDRY ULTR
LOMBARD
IL
6309324700",AplPay FAMILY PRIDE LOMBARD             IL,Home,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Home,Gold,Home,0.8,True
475,2024-09-16,UBER EATS           help.uber.com       CA,3.0,"54KTYD8T    8005928996
UBER EATS
help.uber.com
CA
8005928996",UBER EATS           help.uber.com       CA,Food & Drink,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Home,Gold,Transportation,0.9,False
633,2024-10-02,AplPay FAMILY PRIDE LOMBARD             IL,0.25,"6309324700
AplPay FAMILY PRIDE LAUNDRY ULTR
LOMBARD
IL
6309324700",AplPay FAMILY PRIDE LOMBARD             IL,Home,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Home,Gold,Home,0.8,True
29,2024-06-23,AplPay LYFT         855-280-0278        CA,15.48,"NT_QLCSEOOD1961839891630699194104
1961839891630699150
AplPay LYFT
855-280-0278
CA
1961839891630699150
1961839891630699194104",AplPay LYFT         855-280-0278        CA,Transportation,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Home,Gold,Transportation,0.9,True
706,2024-05-25,LYFT                855-280-0278        CA,21.99,"NT_QAPBKDTP1951527531847513094104
1951527531847513014
LYFT
855-280-0278
CA
1951527531847513014
1951527531847513094104",LYFT                855-280-0278        CA,Transportation,1,,,,categorized_platinum.csv,2025-04-09 03:38:04.524235,Personal,Platinum,Transportation,0.9,True
577,2024-10-21,AplPay PURE GREEN GOChicago             IL,28.38,"hepD10bfAEH squareup.com/receipts
AplPay PURE GREEN GOLD COAST
Chicago
IL
squareup.com/receipts",AplPay PURE GREEN GOChicago             IL,Food & Drink,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Personal,Gold,Food & Drink,0.9,True
831,2024-10-14,AplPay HERTZ TOLL 38NORFOLK             VA,28.38,"R/A# 386959521   8774114300
AplPay HERTZ TOLL 386959521
NORFOLK
VA
",AplPay HERTZ TOLL 38NORFOLK             VA,Transportation,1,,,,categorized_platinum.csv,2025-04-09 03:38:04.524235,Home,Platinum,Transportation,0.8,True
152,2024-05-19,CHURRO FACTORY 0000 CHICAGO             IL,1.85,"10300178    773-844-5428
CHURRO FACTORY 0000
CHICAGO
IL
Description : FOOD/BEVERAGE Price : 0.00
773-844-5428",CHURRO FACTORY 0000 CHICAGO             IL,Food & Drink,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Personal,Gold,Food & Drink,0.9,True
259,2024-07-13,PHARMACIE DE LA PL DPARIS,4.69,"04817900000 0147001808
PHARMACIE DE LA PL DE LA REPUBLI
PARIS
0147001808Foreign Spend Amount: 4.30 EURO Commission Amount:  Currency Exchange Rate: null",PHARMACIE DE LA PL DPARIS,Misc,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Home,Gold,Medical,0.8,False
214,2024-07-21,UBER TRIP           HTTPS://HELP.UBER.COCA,15.61,"18XDDMJX   EMTUZ4KC
UBER TRIP
HTTPS://HELP.UBER.COM
CA
EMTUZ4KCForeign Spend Amount: 14.33 EURO Commission Amount:  Currency Exchange Rate: null",UBER TRIP           HTTPS://HELP.UBER.COCA,Transportation,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Home,Gold,Transportation,0.9,True
756,2024-09-25,PELOTON* MEMBERSHIP NEW YORK CITY       NY,44.0,"NT_QUM5RTCJ +18666799129
PELOTON* MEMBERSHIP
NEW YORK CITY
NY
+18666799129",PELOTON* MEMBERSHIP NEW YORK CITY       NY,Home,1,,,,categorized_platinum.csv,2025-04-09 03:38:04.524235,Home,Platinum,Subscriptions,0.9,False
156,2024-05-18,AplPay WAG!* PET CARSAN FRANCISCO       CA,13.84,"NT_Q8E05G2S +16284004283
AplPay WAG!* PET CARE
SAN FRANCISCO
CA
+16284004283",AplPay WAG!* PET CARSAN FRANCISCO       CA,Dante,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Home,Gold,Subscriptions,0.9,False
464,2024-09-17,AplPay CVS PHARMACY CHICAGO             IL,3.12,"10097232   8007467287
PHARMACIES
AplPay CVS PHARMACY
CHICAGO
IL
PHARMACIES
8007467287",AplPay CVS PHARMACY CHICAGO             IL,Misc,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Personal,Gold,Medical,0.9,False
399,2024-08-05,JUST SALAD 0000     NEW YORK            NY,6.0,"11398851    212-244-1111
JUST SALAD 0000
NEW YORK
NY
Description : FAST FOOD RESTAURAN Price : 0.00
212-244-1111",JUST SALAD 0000     NEW YORK            NY,Food & Drink,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Personal,Gold,Food & Drink,0.9,True
745,2024-07-07,UBER,8.99,"FRRW8X30   3S4HKULE         60610
Uber Trip
help.uber.com
CA
3S4HKULE         60610",Uber Trip           help.uber.com       CA,Transportation,1,,,,categorized_platinum.csv,2025-04-09 03:38:04.524235,Personal,Platinum,Transportation,0.9,True
735,2024-07-10,AplPay JC LICHT - 13CHICAGO             IL,-11.0,"99999994193 3127876887
AplPay JC LICHT - 1300 - ACE GOL 000000004
CHICAGO
IL
3127876887",AplPay JC LICHT - 13CHICAGO             IL,Home,1,,,,categorized_platinum.csv,2025-04-09 03:38:04.524235,Personal,Platinum,Home,0.8,True
830,2024-10-15,AplPay NORDSTROM    NAPERVILLE          IL,129.2,"70012900    8002855800
AplPay NORDSTROM
NAPERVILLE
IL
Description : DEPT.   STORES Price : 1.292
8002855800",AplPay NORDSTROM    NAPERVILLE          IL,Clothes,1,,,,categorized_platinum.csv,2025-04-09 03:38:04.524235,Personal,Platinum,Shopping,0.8,False
630,2024-10-03,AplPay FAMILY PRIDE LOMBARD             IL,2.5,"6309324700
AplPay FAMILY PRIDE LAUNDRY ULTR
LOMBARD
IL
6309324700",AplPay FAMILY PRIDE LOMBARD             IL,Home,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Home,Gold,Home,0.8,True
407,2024-08-03,STARBUCKS STORE 1117NAPERVILLE          IL,12.51,"C3D6CA4B92C FAST FOOD RESTAURANT
STARBUCKS STORE 1117
NAPERVILLE
IL
FAST FOOD RESTAURANT",STARBUCKS STORE 1117NAPERVILLE          IL,Food & Drink,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Personal,Gold,Food & Drink,0.9,True
618,2024-10-05,AplPay SNCB/NMBS BRUBRUSSEL,23.84,"8164134645  PASSENGER RAILWAY
AplPay SNCB/NMBS BRUSSEL CENTRALE NATIONAL
BRUSSEL
PASSENGER RAILWAYForeign Spend Amount: 21.60 EURO Commission Amount:  Currency Exchange Rate: null",AplPay SNCB/NMBS BRUBRUSSEL,Transportation,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Home,Gold,Transportation,0.8,True
709,2024-05-24,LYFT                855-280-0278        CA,8.03,"NT_QAYBMDDV1951255861539815894104
1951255861539815802
LYFT
855-280-0278
CA
1951255861539815802
1951255861539815894104",LYFT                855-280-0278        CA,Transportation,1,,,,categorized_platinum.csv,2025-04-09 03:38:04.524235,Personal,Platinum,Transportation,0.9,True
91,2024-06-07,"TST* TABLE, DONKEY ACHICAGO             IL",73.18,"21105174160 RESTAURANT
TST* TABLE, DONKEY AND ST 00139181
CHICAGO
IL
RESTAURANT","TST* TABLE, DONKEY ACHICAGO             IL",Food & Drink,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Home,Gold,Food & Drink,0.9,True
412,2024-08-02,AplPay CVS PHARMACY CHICAGO             IL,18.94,"10069009    8007467287
AplPay CVS PHARMACY
CHICAGO
IL
Description : PHARMACIES Price : 0.1894
8007467287",AplPay CVS PHARMACY CHICAGO             IL,Misc,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Home,Gold,Medical,0.9,False
404,2024-08-03,AplPay JEWEL OSCO 00NAPERVILLE          IL,5.59,"00590054    800-898-4027
AplPay JEWEL OSCO 0059 0059
NAPERVILLE
IL
Description : GROCERIES/SUNDRIES Price : 0.00
800-898-4027",AplPay JEWEL OSCO 00NAPERVILLE          IL,Groceries,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Personal,Gold,Groceries,0.9,True
261,2024-07-13,UBER ONE            help.uber.com       CA,9.99,"JW74PG23    8005928996
UBER ONE
help.uber.com
CA
8005928996",UBER ONE            help.uber.com       CA,Transportation,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Personal,Gold,Transportation,0.9,True
272,2024-07-11,QUEST DIAGNOSTICS   800-888-8333        IL,10.63,"793261482   LAB TESTING
QUEST DIAGNOSTICS
800-888-8333
IL
LAB TESTING",QUEST DIAGNOSTICS   800-888-8333        IL,Medical,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Home,Gold,Medical,0.9,True
802,2024-08-02,AMAZON MARKEPLACE NA PA,22.04,"4LQQCX0LPWZ MERCHANDISE
AMAZON MARKETPLACE NA PA
AMZN.COM/BILL
WA
MERCHANDISE",AMAZON MARKETPLACE NAMZN.COM/BILL       WA,Misc,1,,,,categorized_platinum.csv,2025-04-09 03:38:04.524235,Personal,Platinum,Shopping,0.8,False
242,2024-07-16,MONOPRIX LECOURBE MOPARIS               FR,22.94,"00007576    FREEZER & LOCKER MEAT
MONOPRIX LECOURBE MONOPING49
PARIS
FR
FREEZER & LOCKER MEATForeign Spend Amount: 21.00 EURO Commission Amount:  Currency Exchange Rate: null",MONOPRIX LECOURBE MOPARIS               FR,Groceries,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Home,Gold,Shopping,0.8,False
461,2024-09-18,STARBUCKS           800-782-7282        WA,20.0,"14KDN0YGDQP GIFT CARD
STARBUCKS
800-782-7282
WA
GIFT CARD",STARBUCKS           800-782-7282        WA,Food & Drink,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Personal,Gold,Shopping,0.8,False
406,2024-08-03,AplPay JEWEL OSCO 00NAPERVILLE          IL,36.48,"00590003    800-898-4027
AplPay JEWEL OSCO 0059 0059
NAPERVILLE
IL
Description : GROCERIES/SUNDRIES Price : 0.00
800-898-4027",AplPay JEWEL OSCO 00NAPERVILLE          IL,Groceries,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Home,Gold,Groceries,0.9,True
603,2024-10-08,AplPay UBER TRIP    HTTPS://HELP.UBER.COCA,1.03,"5FYXZK3D    8005928996
AplPay UBER TRIP
HTTPS://HELP.UBER.COM
CA
8005928996Foreign Spend Amount: 0.94 EURO Commission Amount:  Currency Exchange Rate: null",AplPay UBER TRIP    HTTPS://HELP.UBER.COCA,Transportation,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Home,Gold,Transportation,0.8,True
174,2024-07-29,STARBUCKS           800-782-7282        WA,20.0,"1P9KCBVBNQN GIFT CARD
STARBUCKS
800-782-7282
WA
GIFT CARD",STARBUCKS           800-782-7282        WA,Food & Drink,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Personal,Gold,Shopping,0.8,False
676,2024-06-15,PLAYITAGAINSP #10047NAPERVILLE          IL,53.08,"844072     USED MERCHANDISE
PLAYITAGAINSP #10047
NAPERVILLE
IL
USED MERCHANDISE",PLAYITAGAINSP #10047NAPERVILLE          IL,Misc,1,,,,categorized_platinum.csv,2025-04-09 03:38:04.524235,Personal,Platinum,Shopping,0.8,False
296,2024-07-07,TACO & BURRITO EXPRECHICAGO             IL,19.58,"873574      RESTAURANT
TACO & BURRITO EXPRESS
CHICAGO
IL
RESTAURANT",TACO & BURRITO EXPRECHICAGO             IL,Food & Drink,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Personal,Gold,Food & Drink,0.9,True
436,2024-09-22,LODGE TAVERN        CHICAGO             IL,20.0,"29532543    312-642-4406
LODGE TAVERN
CHICAGO
IL
",LODGE TAVERN        CHICAGO             IL,Food & Drink,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Personal,Gold,Food & Drink,0.8,True
103,2024-06-02,TST* DISTRICT BREW YCHICAGO             IL,108.09,"99999994154 3122592960
TST* DISTRICT BREW YARDS 300521576
CHICAGO
IL
Description : BARS Price : 1.0809
3122592960",TST* DISTRICT BREW YCHICAGO             IL,Food & Drink,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Personal,Gold,Entertainment,0.8,False
690,2024-06-03,AIRBNB * HMPCSFFDYA SAN FRANCISCO       CA,279.77,"03YHK6TV    4158005959
AIRBNB * HMPCSFFDYA
SAN FRANCISCO
CA
4158005959",AIRBNB * HMPCSFFDYA SAN FRANCISCO       CA,Travel-Lodging,1,,,,categorized_platinum.csv,2025-04-09 03:38:04.524235,Home,Platinum,Travel-Lodging,0.9,True
796,2024-08-12,OPENAI *CHATGPT SUBSSAN FRANCISCO       CA,20.0,"NT_QEQTXKD1 +14158799686
OPENAI *CHATGPT SUBSCR
SAN FRANCISCO
CA
+14158799686",OPENAI *CHATGPT SUBSSAN FRANCISCO       CA,Subscriptions,1,,,,categorized_platinum.csv,2025-04-09 03:38:04.524235,Personal,Platinum,Subscriptions,0.9,True
494,2024-09-10,JUST SALAD 0000     NEW YORK            NY,6.0,"11540926    212-244-1111
JUST SALAD 0000
NEW YORK
NY
Description : FAST FOOD RESTAURAN Price : 0.00
212-244-1111",JUST SALAD 0000     NEW YORK            NY,Food & Drink,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Personal,Gold,Food & Drink,0.95,True
717,2024-07-25,MODERN INTIMACY     BEVERLY HILLS       CA,150.0,"NT_QXQWEB4W +18339535902
MODERN INTIMACY
BEVERLY HILLS
CA
+18339535902",MODERN INTIMACY     BEVERLY HILLS       CA,Medical,1,,,,categorized_platinum.csv,2025-04-09 03:38:04.524235,Personal,Platinum,Subscriptions,0.9,False
271,2024-07-11,FADO CHICAGO 0000000CHICAGO             IL,12.06,"00000000099 4048488433
FADO CHICAGO 000000003
CHICAGO
IL
Description : RESTAURANTS Price : 0.1206
4048488433",FADO CHICAGO 0000000CHICAGO             IL,Food & Drink,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Personal,Gold,Food & Drink,0.95,True
167,2024-05-13,CTY CLERK STICKERS 0CHICAGO             IL,16.0,"99999994135 3127446861
CTY CLERK STICKERS 000000027
CHICAGO
IL
Description : GVMNT SCVS Price : 0.16
3127446861",CTY CLERK STICKERS 0CHICAGO             IL,Misc,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Personal,Gold,Misc,0.8,True
250,2024-07-14,AplPay MONOPRIX COMMPARIS               FR,45.69,"00000638    FREEZER & LOCKER MEAT
AplPay MONOPRIX COMMERCE MONOPING49
PARIS
FR
FREEZER & LOCKER MEATForeign Spend Amount: 41.87 EURO Commission Amount:  Currency Exchange Rate: null",AplPay MONOPRIX COMMPARIS               FR,Groceries,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Home,Gold,Groceries,0.85,True
433,2024-09-22,AplPay THE SPOKE & BChicago             IL,14.39,"PzctX3weQ9e squareup.com/receipts
AplPay THE SPOKE & BIRD - SOUTH LOOP
Chicago
IL
squareup.com/receipts",AplPay THE SPOKE & BChicago             IL,Food & Drink,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Home,Gold,Shopping,0.9,False
351,2024-08-24,AplPay PETSMART     BOLINGBROOK         IL,7.58,"12256710101 888-839-9638
AplPay PETSMART
BOLINGBROOK
IL
Description : PETS/SUPPLIES/ACC Price : 0.00
888-839-9638",AplPay PETSMART     BOLINGBROOK         IL,Dante,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Home,Gold,Shopping,0.9,False
729,2024-07-14,UBER TRIP           HTTPS://HELP.UBER.COCA,21.88,"CTE035ZP   YXEH4NVX
UBER TRIP
HTTPS://HELP.UBER.COM
CA
YXEH4NVXForeign Spend Amount: 20.05 EURO Commission Amount:  Currency Exchange Rate: null",UBER TRIP           HTTPS://HELP.UBER.COCA,Transportation,1,,,,categorized_platinum.csv,2025-04-09 03:38:04.524235,Personal,Platinum,Transportation,0.95,True
403,2024-08-03,ANDY'S - BOLINGBROOKBOLINGBROOK         IL,16.25,"79800341    417-881-3500
ANDY'S - BOLINGBROOK 2 0000
BOLINGBROOK
IL
Description : FAST FOOD RESTAURAN Price : 0.00
417-881-3500",ANDY'S - BOLINGBROOKBOLINGBROOK         IL,Food & Drink,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Home,Gold,Food & Drink,0.95,True
75,2024-06-11,AplPay DUNKIN #34496CHICAGO             IL,6.71,"24111601475 312-765-9952
AplPay DUNKIN #344965 Q35 3449
CHICAGO
IL
Description : FAST FOOD RESTAURAN Price : 0.00
312-765-9952",AplPay DUNKIN #34496CHICAGO             IL,Food & Drink,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Personal,Gold,Food & Drink,0.95,True
315,2024-08-30,AplPay JEWEL OSCO 11CHESTERTON          IN,83.58,"11890001    800-898-4027
AplPay JEWEL OSCO 1189 1189
CHESTERTON
IN
Description : GROCERIES/SUNDRIES Price : 0.00
800-898-4027",AplPay JEWEL OSCO 11CHESTERTON          IN,Groceries,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Home,Gold,Groceries,0.85,True
353,2024-08-24,SALERNO'S NAUTICAL PCHICAGO             IL,20.0,"73011544238 ROBERTSALERNO70@AOL.C
ROBERTSALERNO70@AOL.COM
SALERNO'S NAUTICAL PLAYPE 545500001217
CHICAGO
IL
ROBERTSALERNO70@AOL.COM",SALERNO'S NAUTICAL PCHICAGO             IL,Food & Drink,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Personal,Gold,Shopping,0.9,False
718,2024-07-25,PELOTON* MEMBERSHIP NEW YORK CITY       NY,44.0,"NT_QXY4VZ3X +18666799129
PELOTON* MEMBERSHIP
NEW YORK CITY
NY
+18666799129",PELOTON* MEMBERSHIP NEW YORK CITY       NY,Subscriptions,1,,,,categorized_platinum.csv,2025-04-09 03:38:04.524235,Home,Platinum,Subscriptions,0.9,True
495,2024-09-10,TUCKER PUPS PET RESOCHICAGO             IL,12.12,"373040      PET SHOP/FOOD/SUPPLY
TUCKER PUPS PET RESO
CHICAGO
IL
PET SHOP/FOOD/SUPPLY",TUCKER PUPS PET RESOCHICAGO             IL,Dante,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Home,Gold,Shopping,0.9,False
679,2024-06-14,LYFT                855-280-0278        CA,4.45,"NT_QI4LAR1C(NONE)           94104
LYFT
855-280-0278
CA
(NONE)
(NONE)           94104",LYFT                855-280-0278        CA,Transportation,1,,,,categorized_platinum.csv,2025-04-09 03:38:04.524235,Personal,Platinum,Transportation,0.95,True
309,2024-07-03,PY *LOU MALNATIS - SCHICAGO             IL,49.48,"1464567149  3127861000
PY *LOU MALNATIS - SOUTH 000002988
CHICAGO
IL
3127861000",PY *LOU MALNATIS - SCHICAGO             IL,Food & Drink,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Personal,Gold,Food & Drink,0.95,True
253,2024-07-13,ADU BROBBEY         ARGENTEUIL          FR,70.93,"TAXICAB & LIMOUSINE
ADU BROBBEY
ARGENTEUIL
FR
TAXICAB & LIMOUSINEForeign Spend Amount: 65.00 EURO Commission Amount:  Currency Exchange Rate: null",ADU BROBBEY         ARGENTEUIL          FR,Transportation,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Home,Gold,Transportation,0.95,True
49,2024-06-20,AplPay TST* BOURGEOICHICAGO             IL,5.79,"21105174172 RESTAURANT
AplPay TST* BOURGEOIS PIG CAFE 00026856
CHICAGO
IL
RESTAURANT",AplPay TST* BOURGEOICHICAGO             IL,Food & Drink,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Personal,Gold,Food & Drink,0.95,True
832,2024-10-13,3CPAYMENT*ANANTARA VMARBELLA            ES,285.38,"07103878969 +34 952 88 91 50
3CPAYMENT*ANANTARA VILLA PADIERNA 0000
MARBELLA
ES
+34 952 88 91 50Foreign Spend Amount: 260.50 EURO Commission Amount:  Currency Exchange Rate: null",3CPAYMENT*ANANTARA VMARBELLA            ES,Travel-Lodging,1,,,,categorized_platinum.csv,2025-04-09 03:38:04.524235,Home,Platinum,Travel-Lodging,0.85,True
136,2024-05-23,AplPay TST* BROWN BACHICAGO             IL,11.18,"21105174145 RESTAURANT
AplPay TST* BROWN BAG SEAFOOD CO 00082488
CHICAGO
IL
RESTAURANT",AplPay TST* BROWN BACHICAGO             IL,Food & Drink,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Personal,Gold,Food & Drink,0.95,True
97,2024-06-03,AplPay WHOLEFDS GOC CHICAGO             IL,138.19,"0A3GVDORJ2E 1234567891
AplPay WHOLEFDS GOC #10740 000010740
CHICAGO
IL
Description : GROCERY STORES Price : 1.3819
1234567891",AplPay WHOLEFDS GOC CHICAGO             IL,Groceries,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Home,Gold,Groceries,0.85,True
629,2024-10-03,AplPay FAMILY PRIDE LOMBARD             IL,2.0,"6309324700
AplPay FAMILY PRIDE LAUNDRY ULTR
LOMBARD
IL
6309324700",AplPay FAMILY PRIDE LOMBARD             IL,Home,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Home,Gold,Shopping,0.9,False
460,2024-09-18,PARK CHICAGO MOBILE CHICAGO             IL,20.0,"0630805947  877-242-7901
PARK CHICAGO MOBILE 0539
CHICAGO
IL
Description : PARKING FEES Price : 0.00
877-242-7901",PARK CHICAGO MOBILE CHICAGO             IL,Transportation,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Home,Gold,Transportation,0.95,True
362,2024-08-19,AplPay MARK VEND CO.NORTHBROOK          IL,1.85,"WT1h8fA1s5  888-561-4748
AplPay MARK VEND CO. 0000
NORTHBROOK
IL
Description : FAST FOOD RESTAURAN Price : 0.00
888-561-4748",AplPay MARK VEND CO.NORTHBROOK          IL,Food & Drink,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Personal,Gold,Food & Drink,0.95,True
298,2024-07-06,AplPay DIVISION     Chicago             IL,8.18,"NKIVnbE4rOQ squareup.com/receipts
AplPay DIVISION
Chicago
IL
squareup.com/receipts",AplPay DIVISION     Chicago             IL,Groceries,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Personal,Gold,Shopping,0.9,False
262,2024-07-12,CITYOFNAP LIBRARY   NAPERVILLE          IL,56.99,"839196      BOOKS & NEWSPAPERS
CITYOFNAP LIBRARY
NAPERVILLE
IL
BOOKS & NEWSPAPERS",CITYOFNAP LIBRARY   NAPERVILLE          IL,Misc,1,,,,categorized_gold.csv,2025-04-09 03:38:04.500260,Personal,Gold,Misc,0.8,True
