Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category,Confidence
03/04/2025,PERILLO BMW 0613    CHICAGO             IL,-30.0,"0000244376  312-981-0000
PERILLO BMW 0613
CHICAGO
IL
Description : AUTO SLS/SVC/RPR Price : 0.00
312-981-0000",PERILLO BMW 0613    CHICAGO             IL,1035 NORTH CLARK ST,"CHICAGO
IL",60610,UNITED STATES,'320250630545764481',Food & Drink,0.45
03/04/2025,PERILLO BMW 0613    CHICAGO             IL,794.87,"0000244376  312-981-0000
PERILLO BMW 0613
CHICAGO
IL
Description : AUTO SLS/SVC/RPR Price : 0.00
312-981-0000",PERILLO BMW 0613    CHICAGO             IL,1035 NORTH CLARK ST,"CHICAGO
IL",60610,UNITED STATES,'320250630545217359',Food & Drink,0.45
03/04/2025,UBER,15.03,"7J1K20QY   TU5IMNVD         60647
Uber Trip
help.uber.com
CA
TU5IMNVD         60647",Uber Trip           help.uber.com       CA,"1455 Market St 400
-","SAN FRANCISCO
CA",94103,UNITED STATES,'320250630530182111',Transportation-Taxis & Coach,1.0
03/03/2025,AMEXTRAVEL.COM      800-297-2977        WA,1472.9,"MILLENNIUM  TRAVEL
LODGING
AMEXTRAVEL.COM
800-297-2977
WA",AMEXTRAVEL.COM      800-297-2977        WA,"500 WEST MADISON ST
STE 1000","CHICAGO
IL",60661,UNITED STATES,'320250630536277516',Food & Drink,0.72
03/03/2025,YMCA OF METROPOLITANCHICAGO             IL,100.0,"1589608857  3129321200
YMCA OF METROPOLITAN CHIC 000000001
CHICAGO
IL
3129321200",YMCA OF METROPOLITANCHICAGO             IL,801 NORTH DEARBORN ST,"CHICAGO
IL",60610-3316,UNITED STATES,'320250630535487126',Food & Drink,0.53
02/28/2025,NYTimes.COM NY TIMES(800)698-4637       NY,4.0,"82456D8B867 ONLINE SUBS
NYTimes.COM NY TIMES DIGITAL
(800)698-4637
NY
ONLINE SUBS",NYTimes.COM NY TIMES(800)698-4637       NY,"620 8TH AVE
BSMT 1","NEW YORK
NY",10018-1604,UNITED STATES,'320250600461772408',Food & Drink,0.67
02/28/2025,Platinum Digital Entertainment Credit,-4.0,"NYTimes.COM NY TIMES DIGI
Platinum Digital Entertainment Credit",Platinum Digital Entertainment Credit,"620 8TH AVE
BSMT 1","NEW YORK
NY",10018-1604,UNITED STATES,'320250620492675482',Food & Drink,1.0
02/28/2025,UNITED AIRLINES     HOUSTON             TX,-50.87,"06080069    WWW.UNITED.COM
SUPPORTED REFUND
UNITED AIRLINES
HOUSTON
TX
Carrier : UNITED AIRLINES
Passenger Name : BAMZAI/PALLAVI
Ticket Number : 01624644271585
Departure Day : 03/14
Additional Info : SUPPORTED REFUND
From : CHICAGO O'HARE INT
To : NEW YORK LA GUARDI
From : NEW YORK LA GUARDI
To : CHICAGO O'HARE INT",UNITED AIRLINES     HOUSTON             TX,"HSCAC - 12TH
FLOOR 609 MAIN STREET","HOUSTON
TX",77002,UNITED STATES,'320250610474244147',Travel-Airline,1.0
02/28/2025,UNITED AIRLINES     HOUSTON             TX,-50.87,"06080077    WWW.UNITED.COM
SUPPORTED REFUND
UNITED AIRLINES
HOUSTON
TX
Carrier : UNITED AIRLINES
Passenger Name : SRIRAM/RISHI
Ticket Number : 01624644271552
Departure Day : 03/14
Additional Info : SUPPORTED REFUND
From : CHICAGO O'HARE INT
To : NEW YORK LA GUARDI
From : NEW YORK LA GUARDI
To : CHICAGO O'HARE INT",UNITED AIRLINES     HOUSTON             TX,"HSCAC - 12TH
FLOOR 609 MAIN STREET","HOUSTON
TX",77002,UNITED STATES,'320250610474244948',Travel-Airline,1.0
02/27/2025,KINDLE SVCS*PV775707888-802-3080        WA,9.99,"15W0235RD3A DIGITAL
KINDLE SVCS*PV7757073
888-802-3080
WA
DIGITAL",KINDLE SVCS*PV775707888-802-3080        WA,1512 2ND AVE,"SEATTLE
WA",98101-1508,UNITED STATES,'320250580392170440',Food & Drink,0.97
02/27/2025,MODERN INTIMACY     BEVERLY HILLS       CA,175.0,"NT_RQKR4QCW +18339535902
MODERN INTIMACY
BEVERLY HILLS
CA
+18339535902",MODERN INTIMACY     BEVERLY HILLS       CA,"9903 SANTA MONICA BLVD
SUITE 823","BEVERLY HILLS
CA",90212,UNITED STATES,'320250580393261489',Food & Drink,0.86
02/27/2025,UNITED AIRLINES     HOUSTON             TX,319.84,"05892096    WWW.UNITED.COM
PASSENGER TICKET
UNITED AIRLINES
HOUSTON
TX
Carrier : UNITED AIRLINES
Passenger Name : SRIRAM/RISHI
Ticket Number : 01624641681865
Departure Day : 03/15
Additional Info : PASSENGER TICKET
From : CHICAGO O'HARE INT
To : N.Y. NEWARK INTL A
From : N.Y. NEWARK INTL A
To : CHICAGO O'HARE INT",UNITED AIRLINES     HOUSTON             TX,"HSCAC - 12TH
FLOOR 609 MAIN STREET","HOUSTON
TX",77002,UNITED STATES,'320250590417209785',Travel-Airline,1.0
02/27/2025,UNITED AIRLINES     HOUSTON             TX,319.84,"05891370    WWW.UNITED.COM
PASSENGER TICKET
UNITED AIRLINES
HOUSTON
TX
Carrier : UNITED AIRLINES
Passenger Name : BAMZAI/PALLAVI
Ticket Number : 01624641681876
Departure Day : 03/15
Additional Info : PASSENGER TICKET
From : CHICAGO O'HARE INT
To : N.Y. NEWARK INTL A
From : N.Y. NEWARK INTL A
To : CHICAGO O'HARE INT",UNITED AIRLINES     HOUSTON             TX,"HSCAC - 12TH
FLOOR 609 MAIN STREET","HOUSTON
TX",77002,UNITED STATES,'320250590417716209',Travel-Airline,1.0
02/25/2025,PELOTON* MEMBERSHIP NEW YORK CITY       NY,44.0,"NT_RQAWTD3U +18666799129
PELOTON* MEMBERSHIP
NEW YORK CITY
NY
+18666799129",PELOTON* MEMBERSHIP NEW YORK CITY       NY,"441 NINTH AVE
FLOOR 6","NEW YORK CITY
NY",10001,UNITED STATES,'320250560331034419',Food & Drink,0.49
